EmployeeID,EmployeeName,Date,Time
1,John Smith,2026-02-02,09:00:00
1,John Smith,2026-02-02,18:00:00
1,John Smith,2026-02-03,09:00:00
1,John Smith,2026-02-03,15:30:00
1,John Smith,2026-02-04,09:00:00
1,John Smith,2026-02-04,12:00:00
1,John Smith,2026-02-06,09:00:00
1,John Smith,2026-02-06,19:00:00
1,John Smith,2026-02-07,09:00:00
1,John Smith,2026-02-07,18:00:00
1,John Smith,2026-02-08,09:00:00
1,John Smith,2026-02-08,17:00:00
1,John Smith,2026-02-09,08:30:00
1,John Smith,2026-02-09,18:30:00
1,John Smith,2026-02-10,09:00:00
2,Emma Johnson,2026-02-01,10:00:00
2,Emma Johnson,2026-02-01,14:00:00
2,Emma Johnson,2026-02-02,09:15:00
2,Emma Johnson,2026-02-02,17:45:00
2,Emma Johnson,2026-02-03,09:00:00
2,Emma Johnson,2026-02-03,13:00:00
2,Emma Johnson,2026-02-05,10:00:00
2,Emma Johnson,2026-02-05,19:00:00
2,Emma Johnson,2026-02-06,09:00:00
2,Emma Johnson,2026-02-06,12:30:00
2,Emma Johnson,2026-02-08,10:00:00
2,Emma Johnson,2026-02-08,18:00:00
2,Emma Johnson,2026-02-09,09:00:00
2,Emma Johnson,2026-02-09,18:00:00
2,Emma Johnson,2026-02-10,08:45:00
